Job Title,Company,Location,Source,Job Link,
Open Source Collector (Discovery and Collections Specialist - Mid-Level) - NGA-STL,Masego Inc.,"St Louis, MO",LinkedIn,https://www.linkedin.com/jobs/view/open-source-collector-discovery-and-collections-specialist-mid-level-nga-stl-at-masego-inc-4159261575?position=1&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=TlyINKsnWm5SPAF8MV%2FIkw%3D%3D,
ETL Data Processing Programmer (Python),HedgeApple,"Lawrence, KS",LinkedIn,https://www.linkedin.com/jobs/view/etl-data-processing-programmer-python-at-hedgeapple-3787784128?position=2&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=rs%2BM8j9AcSJcF6VwN9QQEw%3D%3D,
Open Source Collector (Discovery and Collections Specialist - Mid-Level) - NGA-Washington,Masego Inc.,"Springfield, VA",LinkedIn,https://www.linkedin.com/jobs/view/open-source-collector-discovery-and-collections-specialist-mid-level-nga-washington-at-masego-inc-4159261667?position=3&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=WjYkClrmuBmK8ESZgNKXTQ%3D%3D,
Data Scientist,Redhorse Corporation,"Chantilly, VA",LinkedIn,https://www.linkedin.com/jobs/view/data-scientist-at-redhorse-corporation-4143051116?position=4&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=HWitZlL6N9MOqz6TIDzphg%3D%3D,
Software Engineer - AI Training Data,Voltai,"Palo Alto, CA",LinkedIn,https://www.linkedin.com/jobs/view/software-engineer-ai-training-data-at-voltai-4186286720?position=5&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=ZZjGy0LaJYngxdYagGIuBQ%3D%3D,
Software Engineer - AI Training Data,Voltai,San Francisco Bay Area,LinkedIn,https://www.linkedin.com/jobs/view/software-engineer-ai-training-data-at-voltai-4185906668?position=6&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=hr2lsjp5PbrOkgXjwZYjxw%3D%3D,
GTM Engineer,Databar.ai,United States,LinkedIn,https://www.linkedin.com/jobs/view/gtm-engineer-at-databar-ai-4183788096?position=7&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=xq%2FSnDPiXq6dLxwE6g2XnQ%3D%3D,
Data Engineer (Social Media),OP,"Lake Buena Vista, FL",LinkedIn,https://www.linkedin.com/jobs/view/data-engineer-social-media-at-op-4181942353?position=8&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=MzroQ%2B1fH9zTmKIBcFDR0w%3D%3D,
Growth Hacker,"Krossings, Inc.",United States,LinkedIn,https://www.linkedin.com/jobs/view/growth-hacker-at-krossings-inc-4176494290?position=9&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=zAyvfWkxRysbAiV2ihKniA%3D%3D,
Data Engineer, Vision,Reality Defender,"New York, NY",LinkedIn,https://www.linkedin.com/jobs/view/data-engineer-vision-at-reality-defender-4140318242?position=10&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=j%2BW5MIOcCxK74k4nZ3oi9A%3D%3D
Software Engineer, Data Platform,Middesk,"New York, NY",LinkedIn,https://www.linkedin.com/jobs/view/software-engineer-data-platform-at-middesk-4166181531?position=11&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=12Mpq6KAr6FqexI70%2F66Iw%3D%3D
Application Developer,CoTalent,"Boston, MA",LinkedIn,https://www.linkedin.com/jobs/view/application-developer-at-cotalent-4180562800?position=12&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=l%2BVfFL0p8fiCgT0L5FcbIA%3D%3D,
Lead Data Scraping & Enrichment Engineer â€“ Growth & Lead Acquisition (Python, React..),Groupon,United States,LinkedIn,https://www.linkedin.com/jobs/view/lead-data-scraping-enrichment-engineer-%E2%80%93-growth-lead-acquisition-python-react-at-groupon-4169614943?position=13&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=D%2FeqJT28d4eC8fjo1NOoEw%3D%3D
Data scientist,Colan Infotech Private Limited,"Elkhart County, IN",LinkedIn,https://www.linkedin.com/jobs/view/data-scientist-at-colan-infotech-private-limited-4176651185?position=14&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=ROSxCmctx%2Fs5oRK5VcsNfQ%3D%3D,
Growth Lead (SEO),daydream,"San Francisco, CA",LinkedIn,https://www.linkedin.com/jobs/view/growth-lead-seo-at-daydream-4075922371?position=15&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=jDiQbOElnFsaehm1r4%2F5hw%3D%3D,
Data Analyst,Hayes Locums,"Fort Lauderdale, FL",LinkedIn,https://www.linkedin.com/jobs/view/data-analyst-at-hayes-locums-4174487349?position=16&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=Lzeb66B5udxoPMvZIfP1Ww%3D%3D,
