Job Title,Company,Location,Source,Job Link
Open Source Collector (Discovery and Collections Specialist - Mid-Level) - NGA-STL,Masego Inc.,"St Louis, MO",LinkedIn,https://www.linkedin.com/jobs/view/open-source-collector-discovery-and-collections-specialist-mid-level-nga-stl-at-masego-inc-4159261575?position=1&pageNum=0&refId=6X%2Bc9EBp1OVePmmIMepbWg%3D%3D&trackingId=jOJso6gFs2aR5exTTQPCTQ%3D%3D
ETL Data Processing Programmer (Python),HedgeApple,"Lawrence, KS",LinkedIn,https://www.linkedin.com/jobs/view/etl-data-processing-programmer-python-at-hedgeapple-3787784128?position=2&pageNum=0&refId=6X%2Bc9EBp1OVePmmIMepbWg%3D%3D&trackingId=v%2FzidSx5sASKjojj4vQ5wA%3D%3D
Open Source Collector (Discovery and Collections Specialist - Mid-Level) - NGA-Washington,Masego Inc.,"Springfield, VA",LinkedIn,https://www.linkedin.com/jobs/view/open-source-collector-discovery-and-collections-specialist-mid-level-nga-washington-at-masego-inc-4159261667?position=3&pageNum=0&refId=6X%2Bc9EBp1OVePmmIMepbWg%3D%3D&trackingId=hoh%2Fu1mVrrHc7%2BTNpAE9jw%3D%3D
Software Engineer - AI Training Data,Voltai,San Francisco Bay Area,LinkedIn,https://www.linkedin.com/jobs/view/software-engineer-ai-training-data-at-voltai-4185906668?position=4&pageNum=0&refId=6X%2Bc9EBp1OVePmmIMepbWg%3D%3D&trackingId=xv%2Faxqisf05Cq1sFPEwgMQ%3D%3D
Data Scientist,Redhorse Corporation,"Chantilly, VA",LinkedIn,https://www.linkedin.com/jobs/view/data-scientist-at-redhorse-corporation-4143051116?position=5&pageNum=0&refId=6X%2Bc9EBp1OVePmmIMepbWg%3D%3D&trackingId=yD1KAeYhZm2G%2Bxm52OkZkA%3D%3D
Software Engineer - AI Training Data,Voltai,"Palo Alto, CA",LinkedIn,https://www.linkedin.com/jobs/view/software-engineer-ai-training-data-at-voltai-4186286720?position=6&pageNum=0&refId=6X%2Bc9EBp1OVePmmIMepbWg%3D%3D&trackingId=40ZHl%2BuXHDZzdv1VT2Yvig%3D%3D
Don't see what you're looking for? Join our Talent Network! (Data Engineering),Recorded Future,United States,LinkedIn,https://www.linkedin.com/jobs/view/don-t-see-what-you-re-looking-for%3F-join-our-talent-network%21-data-engineering-at-recorded-future-4187053696?position=7&pageNum=0&refId=6X%2Bc9EBp1OVePmmIMepbWg%3D%3D&trackingId=sDKrpNELPWeZThmbcK2D6A%3D%3D
"Lead Data Scraping & Enrichment Engineer – Growth & Lead Acquisition (Python, React..)",Groupon,United States,LinkedIn,https://www.linkedin.com/jobs/view/lead-data-scraping-enrichment-engineer-%E2%80%93-growth-lead-acquisition-python-react-at-groupon-4169614943?position=8&pageNum=0&refId=6X%2Bc9EBp1OVePmmIMepbWg%3D%3D&trackingId=I4k%2BkDPMI8Rrk7XhvgfNZg%3D%3D
Senior Data Scientist Intern (April 2025 Start),Flow,United States,LinkedIn,https://www.linkedin.com/jobs/view/senior-data-scientist-intern-april-2025-start-at-flow-4194287402?position=9&pageNum=0&refId=6X%2Bc9EBp1OVePmmIMepbWg%3D%3D&trackingId=puwvoSWRJFnlFfh7C4obNQ%3D%3D
"Data Engineer, Vision",Reality Defender,"New York, NY",LinkedIn,https://www.linkedin.com/jobs/view/data-engineer-vision-at-reality-defender-4140318242?position=10&pageNum=0&refId=6X%2Bc9EBp1OVePmmIMepbWg%3D%3D&trackingId=pe2mz8WQF5KpfxFXsvt2wQ%3D%3D
Application Developer,CoTalent,"Boston, MA",LinkedIn,https://www.linkedin.com/jobs/view/application-developer-at-cotalent-4180562800?position=11&pageNum=0&refId=6X%2Bc9EBp1OVePmmIMepbWg%3D%3D&trackingId=BrAPykS0NWsTKCVeQwKgIw%3D%3D
Data Engineer (Social Media),OP,"Lake Buena Vista, FL",LinkedIn,https://www.linkedin.com/jobs/view/data-engineer-social-media-at-op-4181942353?position=12&pageNum=0&refId=6X%2Bc9EBp1OVePmmIMepbWg%3D%3D&trackingId=azxGBVaD333DDv92BYnFDA%3D%3D
Emerging Data Strategist (USA),Trexquant Investment LP,"Stamford, CT",LinkedIn,https://www.linkedin.com/jobs/view/emerging-data-strategist-usa-at-trexquant-investment-lp-4188535287?position=13&pageNum=0&refId=6X%2Bc9EBp1OVePmmIMepbWg%3D%3D&trackingId=M88kKCvh3LPnS1FqDo8tjQ%3D%3D
Data Analyst,Hayes Locums,"Fort Lauderdale, FL",LinkedIn,https://www.linkedin.com/jobs/view/data-analyst-at-hayes-locums-4174487349?position=14&pageNum=0&refId=6X%2Bc9EBp1OVePmmIMepbWg%3D%3D&trackingId=pYB5J7%2Fml64bZ7hB4%2Fig7w%3D%3D
Software Engineer - Pretraining Data,Magic,"San Francisco, CA",LinkedIn,https://www.linkedin.com/jobs/view/software-engineer-pretraining-data-at-magic-4064935590?position=15&pageNum=0&refId=6X%2Bc9EBp1OVePmmIMepbWg%3D%3D&trackingId=%2BGHJXYEB2Rd%2BAmeLCtLSSg%3D%3D
